periodo,codigo_serie,perfil,imp_hist
2025-01,"AGUJA ESPINAL PTA LAPIZ C/INTR 25GX3.1/2"" WHITACRE",DRO,1726117.8
2025-01,"AGUJA ESPINAL PTA LAPIZ C/INTR 25GX3.1/2"" WHITACRE",IPR,74233.1
2025-01,"AGUJA ESPINAL PTA LAPIZ C/INTR 25GX5""",DRO,187206.8
2025-01,"AGUJA ESPINAL PTA LAPIZ C/INTR 25GX5""",IPU,50575.618
2025-01,"AGUJA ESPINAL PTA LAPIZ C/INTR 26GX3.1/2""",IPU,279821.232
2025-01,"AGUJA ESPINAL PTA LAPIZ C/INTR 27GX5""",DRO,77700.6
2025-01,"AGUJA ESPINAL PUNCION LUMBAR 18GX3.1/2""",IPR,52138.3
2025-01,"AGUJA ESPINAL PUNCION LUMBAR 18GX3.1/2""",IPU,13115.0
2025-01,"AGUJA ESPINAL PUNCION LUMBAR 20GX3.1/2""",DRO,4333.0
2025-01,"AGUJA ESPINAL PUNCION LUMBAR 20GX3.1/2""",IPR,17740.8
2025-01,"AGUJA ESPINAL PUNCION LUMBAR 20GX3.1/2""",OES,15150.0
2025-01,"AGUJA ESPINAL PUNCION LUMBAR 21GX3.1/2""",DRO,40952.1
2025-01,"AGUJA ESPINAL PUNCION LUMBAR 21GX3.1/2""",IPR,41075.65
2025-01,"AGUJA ESPINAL PUNCION LUMBAR 21GX3.1/2""",IPU,13115.0
2025-01,"AGUJA ESPINAL PUNCION LUMBAR 23GX3.1/2""",DRO,332100.8
2025-01,"AGUJA ESPINAL PUNCION LUMBAR 23GX3.1/2""",IPR,70518.1
2025-01,"AGUJA ESPINAL PUNCION LUMBAR 25GX3.1/2""",DRO,269065.0
2025-01,"AGUJA ESPINAL PUNCION LUMBAR 25GX3.1/2""",IPR,0.0
2025-01,"AGUJA ESPINAL PUNCION LUMBAR 27GX3.1/2""",DRO,75650.0
2025-01,"AGUJA ESPINAL PUNCION LUMBAR 27GX3.1/2""",IPR,26405.1
2025-01,"AGUJA ESPINAL PUNCION LUMBAR 27GX3.1/2""",IPU,60812.8668
2025-01,"AGUJA ESPINAL PUNTA LAPIZ 20GX3.1/2""",IPR,49575.0
2025-01,AGUJA ESPINAL PUNTA LAPIZ 21GX3.1/2,IPR,49575.0
2025-01,"AGUJA ESPINAL PUNTA LAPIZ 22GX3.1/2""",FAR,8167.8
2025-01,"AGUJA ESPINAL PUNTA LAPIZ 25GX3.1/2""",DRO,862207.9
2025-01,"AGUJA ESPINAL PUNTA LAPIZ 25GX3.1/2""",IPR,138551.9
2025-01,"AGUJA ESPINAL PUNTA LAPIZ 25GX3.1/2"" WHITACRE",IPR,1093250.25
2025-01,"AGUJA ESPINAL PUNTA LAPIZ 25GX3.1/2"" WHITACRE",OES,493869.16
2025-01,"AGUJA ESPINAL PUNTA LAPIZ 26GX3.1/2""",DRO,265574.0
2025-01,"AGUJA ESPINAL PUNTA LAPIZ 26GX3.1/2""",IPR,132887.15
2025-01,"AGUJA ESPINAL PUNTA LAPIZ 27GX3.1/2""",DRO,533808.8
2025-01,"AGUJA ESPINAL PUNTA LAPIZ 27GX3.1/2""",IPR,13804.95
2025-01,"AGUJA ESPINAL PUNTA LAPIZ 27GX3.1/2""",IPU,150290.0
2025-01,"AGUJA ESPINAL PUNTA LAPIZ 27GX3.1/2"" WHITACRE",DPM,175327.5
2025-01,"AGUJA ESPINAL PUNTA LAPIZ 27GX3.1/2"" WHITACRE",DRO,151122.5
2025-01,"AGUJA ESPINAL PUNTA LAPIZ 27GX3.1/2"" WHITACRE",FAR,1706639.36
2025-01,"AGUJA ESPINAL PUNTA LAPIZ 27GX3.1/2"" WHITACRE",IPR,773482.75
2025-01,AGUJA HUBER 19G X 17MM POLY-PORT,FAR,136538.28
2025-01,AGUJA HUBER 19G X 17MM POLY-PORT,IPR,376176.7
2025-01,AGUJA HUBER 19G X 17MM POLY-PORT,OES,41668.0
2025-01,AGUJA HUBER 19G X 25MM POLY-PORT,DRO,83709.6
2025-01,AGUJA HUBER 20G X 17MM POLY-PORT,IPR,190603.5
2025-01,AGUJA HUBER 20G X 25MM POLY-PORT,FAR,5312.77
2025-01,AGUJA HUBER 20G X 32MM POLY-PORT,OES,41668.0
2025-01,AGUJA HUBER 21G X 17MM POLY-PORT,DRO,58440.47
2025-01,AGUJA HUBER 21G X 17MM POLY-PORT,FAR,4515.85
2025-01,AGUJA HUBER 21G X 25MM POLY-PORT,DRO,1041818.2
2025-01,AGUJA HUBER 21G X 25MM POLY-PORT,FAR,91379.62
2025-01,AGUJA HUBER 21G X 25MM POLY-PORT,IPR,1778757.8
2025-01,AGUJA HUBER 22G X 17MM POLY-PORT,DRO,42502.16
2025-01,AGUJA HUBER 22G X 17MM POLY-PORT,FAR,31876.62
2025-01,AGUJA HUBER 22G X 17MM POLY-PORT,IPR,114368.7
2025-01,AGUJA HUBER 22G X 25MM POLY-PORT,FAR,180634.18
2025-01,AGUJA PARA PEN 31G X 5MM,FAR,320897.83999999997
2025-01,AGUJA PARA PEN 31G X 8MM,DRO,118280.0
2025-01,AGUJA PARA PEN 31G X 8MM,FAR,133315.76
2025-01,AGUJA PERICRANEAL 19G,FAR,6424.73
2025-01,AGUJA PERICRANEAL 19G,IPR,3779.5
2025-01,AGUJA PERICRANEAL 21G,DRO,37324.0
2025-01,AGUJA PERICRANEAL 21G,FAR,25598.39
2025-01,AGUJA PERICRANEAL 21G,IPR,61162.0
2025-01,AGUJA PERICRANEAL 21G,OES,22270.0
2025-01,AGUJA PERICRANEAL 21G,SAN,3870.5
2025-01,AGUJA PERICRANEAL 23G,DRO,1955.0
2025-01,AGUJA PERICRANEAL 23G,FAR,12586.550000000001
2025-01,AGUJA PERICRANEAL 23G,IPR,47775.0
2025-01,AGUJA PERICRANEAL 23G,IPU,37950.4
2025-01,AGUJA PERICRANEAL 23G,OES,80190.0
2025-01,AGUJA PERICRANEAL 25G,DRO,1955.0
2025-01,AGUJA PERICRANEAL 25G,FAR,5938.8
2025-01,AGUJA PERICRANEAL 25G,IPR,3849.0
2025-01,AGUJA PERICRANEAL 25G,IPU,83808.8
2025-01,AGUJA PERICRANEAL 25G,OES,27846.0
2025-01,AGUJA PERICRANEAL 27G,COM,16074.0
2025-01,AGUJA PERICRANEAL 27G,FAR,1627.62
2025-01,ALBUMINA HUMANA 20% X 50 ML FA,IPR,169047.64
2025-01,ALBUMINA HUMANA 20% X 50 ML FA,OES,1215567.0
2025-01,ALCOHOL 70% 1000ML,DRO,1469393.01
2025-01,ALCOHOL 70% 1000ML,FAR,5013640.165
2025-01,ALCOHOL 70% 1000ML,IPR,7260799.32
2025-01,ALCOHOL 70% 1000ML,IPU,251766.7428
2025-01,ALCOHOL 70% 100ML,FAR,310394.86
2025-01,ALCOHOL 70% 100ML,IPR,2124697.6399999997
2025-01,ALCOHOL 70% 100ML,OES,515648.35
2025-01,ALCOHOL 70% 100ML SPRAY,COM,37612.51
2025-01,ALCOHOL 70% 100ML SPRAY,DRO,159853.15
2025-01,ALCOHOL 70% 100ML SPRAY,FAR,6029195.58
2025-01,ALCOHOL 70% 100ML TAPA A ROSCA Y FLIP TOP,FAR,16259.5
2025-01,ALCOHOL 70% 100ML TAPA A ROSCA Y FLIP TOP,IPR,51005.24
2025-01,ALCOHOL 70% 250ML PACK,DRO,54762.4
2025-01,ALCOHOL 70% 250ML PACK,FAR,945743.9500000001
2025-01,ALCOHOL 70% 250ML PACK,IPR,831347.7
2025-01,ALCOHOL 70% 5000ML,DRO,152480.0
2025-01,ALCOHOL 70% 5000ML,FAR,44018.240000000005
2025-01,ALCOHOL 70% 5000ML,IPR,379722.48
2025-01,ALCOHOL 70% 500ML,COM,17347.29
2025-01,ALCOHOL 70% 500ML,FAR,1640666.6700000002
2025-01,ALCOHOL 70% 500ML,IPR,6114064.25
