codigo_serie;nivel_agregacion;perfil;Neg;Subneg;Familia;submodelo;clasificacion_serie;motivo;pos_12;zero_12;pos_rate_12;racha_zeros_final;periodo_eval_ini;periodo_eval_fin;periodo_panel_max
APOSITO HIDROCOL/ALGINAT 15X15CM ULTECPRO (9802);FAMILIA;IPR;15;9;APOSITO HIDROCOL/ALGINAT 15X15CM ULTECPRO (9802);SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;14;2025-01;2025-12;2025-12
APOSITO HIDROCOL/ALGINAT 20X20CM ULTECPRO (9804);FAMILIA;DRO;15;9;APOSITO HIDROCOL/ALGINAT 20X20CM ULTECPRO (9804);SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;3;2025-01;2025-12;2025-12
APOSITO HIDROCOL/ALGINAT 20X20CM ULTECPRO (9804);FAMILIA;OES;15;9;APOSITO HIDROCOL/ALGINAT 20X20CM ULTECPRO (9804);SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;8;2025-01;2025-12;2025-12
APOSITO HIDROCOLOIDE 20X20 CM;FAMILIA;OES;4;7;APOSITO HIDROCOLOIDE 20X20 CM;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;8;2025-01;2025-12;2025-12
APOSITO HIDROCOLOIDE B.BISELADO 10X10 RESTORE 9956 (DISC);FAMILIA;IPR;4;7;APOSITO HIDROCOLOIDE B.BISELADO 10X10 RESTORE 9956 (DISC);SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;6;2025-01;2025-12;2025-12
APOSITO HIDROCOLOIDE B.BISELADO 10X10 RESTORE 9956 (DISC);FAMILIA;OSP;4;7;APOSITO HIDROCOLOIDE B.BISELADO 10X10 RESTORE 9956 (DISC);SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;2;2025-01;2025-12;2025-12
APOSITO HIDROCOLOIDE B.BISELADO 170.1 RESTORE 9965(DISC);FAMILIA;IPR;4;7;APOSITO HIDROCOLOIDE B.BISELADO 170.1 RESTORE 9965(DISC);SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;9;2025-01;2025-12;2025-12
APOSITO HIDROCOLOIDE B.BISELADO 20X20 RESTORE 9958(DISC);FAMILIA;DRO;4;7;APOSITO HIDROCOLOIDE B.BISELADO 20X20 RESTORE 9958(DISC);SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;11;2025-01;2025-12;2025-12
APOSITO HIDROCOLOIDE CON ALGINATO DE CALCIO;FAMILIA;OES;4;1;APOSITO HIDROCOLOIDE CON ALGINATO DE CALCIO;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;22;2025-01;2025-12;2025-12
APOSITO HIDROCOLOIDE CON ALGINATO DE CALCIO 10X10;FAMILIA;DRO;4;1;APOSITO HIDROCOLOIDE CON ALGINATO DE CALCIO 10X10;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;21;2025-01;2025-12;2025-12
APOSITO HIDROCOLOIDE CX 20X20 CM RESTORE COD 9936 (DISC);FAMILIA;IPR;4;7;APOSITO HIDROCOLOIDE CX 20X20 CM RESTORE COD 9936 (DISC);SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;12;2025-01;2025-12;2025-12
APOSITO HIDROCOLOIDE CX 20X20 CM RESTORE COD 9936 (DISC);FAMILIA;OSP;4;7;APOSITO HIDROCOLOIDE CX 20X20 CM RESTORE COD 9936 (DISC);SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;11;2025-01;2025-12;2025-12
APOSITO HOSPITALARIO(12X20CM)X20GRS NO ESTERIL;FAMILIA;IPU;4;1;APOSITO HOSPITALARIO(12X20CM)X20GRS NO ESTERIL;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;0;2025-01;2025-12;2025-12
APOSITO P/DESFIBR 11CM X 15CM DEFIB PADS 2346N;FAMILIA;DPM;4;7;APOSITO P/DESFIBR 11CM X 15CM DEFIB PADS 2346N;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;2;2025-01;2025-12;2025-12
APOSITO PARA INCONTINENCIA LEVE HOMBRE;FAMILIA;IPU;4;3;APOSITO PARA INCONTINENCIA LEVE HOMBRE;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;18;2025-01;2025-12;2025-12
APOSITO PARA INCONTINENCIA LEVE MAXI DISCREET;FAMILIA;DRO;4;3;APOSITO PARA INCONTINENCIA LEVE MAXI DISCREET;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;4;2025-01;2025-12;2025-12
APOSITO PARA INCONTINENCIA LEVE MAXI DISCREET;FAMILIA;IPU;4;3;APOSITO PARA INCONTINENCIA LEVE MAXI DISCREET;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;18;2025-01;2025-12;2025-12
APOSITO PARA INCONTINENCIA LEVE NORMAL DISCREET;FAMILIA;DRO;4;3;APOSITO PARA INCONTINENCIA LEVE NORMAL DISCREET;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;2;2025-01;2025-12;2025-12
APOSITO POST PARTO EST GASANA 10X20;FAMILIA;DRO;4;1;APOSITO POST PARTO EST GASANA 10X20;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;11;2025-01;2025-12;2025-12
APOSITO PROTECTOR PLASTICO;FAMILIA;IPR;4;2;APOSITO PROTECTOR PLASTICO;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;10;2025-01;2025-12;2025-12
APOSITO PROTECTOR POST EXTRACCION BANDERM;FAMILIA;IPU;4;1;APOSITO PROTECTOR POST EXTRACCION BANDERM;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;13;2025-01;2025-12;2025-12
APOSITO PROTECTOR POST EXTRACCION BANDERM;FAMILIA;OSP;4;1;APOSITO PROTECTOR POST EXTRACCION BANDERM;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;10;2025-01;2025-12;2025-12
APOSITO QUIRURGICO ESTERIL 10X10CM;FAMILIA;DRO;4;1;APOSITO QUIRURGICO ESTERIL 10X10CM;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;9;2025-01;2025-12;2025-12
APOSITO QUIRURGICO ESTERIL 10X20CM;FAMILIA;DPM;4;1;APOSITO QUIRURGICO ESTERIL 10X20CM;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;0;2025-01;2025-12;2025-12
APOSITO QUIRURGICO ESTERIL 10X20CM;FAMILIA;IPR;4;1;APOSITO QUIRURGICO ESTERIL 10X20CM;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;20;2025-01;2025-12;2025-12
APOSITO QUIRURGICO ESTERIL 10X20CM;FAMILIA;OSU;4;1;APOSITO QUIRURGICO ESTERIL 10X20CM;SM5_IPR_OTHERS;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;20;2025-01;2025-12;2025-12
APOSITO QUIRURGICO ESTERIL 15X20CM;FAMILIA;DRO;4;1;APOSITO QUIRURGICO ESTERIL 15X20CM;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;9;2025-01;2025-12;2025-12
APOSITO QUIRURGICO ESTERIL 20X20CM;FAMILIA;IPR;4;1;APOSITO QUIRURGICO ESTERIL 20X20CM;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;10;2025-01;2025-12;2025-12
ARGININA 10 % X 250 ML SACHET;FAMILIA;OES;6;1;ARGININA  10 % X 250 ML SACHET;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;9;2025-01;2025-12;2025-12
ARIPIPRAZOL 10 MG COMP;FAMILIA;DRO;6;4;ARIPIPRAZOL 10 MG COMP;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;3;2025-01;2025-12;2025-12
ARIPIPRAZOL 10 MG COMP;FAMILIA;IPR;6;4;ARIPIPRAZOL 10 MG COMP;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;10;2025-01;2025-12;2025-12
ARIPIPRAZOL 10 MG COMP;FAMILIA;OES;6;4;ARIPIPRAZOL 10 MG COMP;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;12;2025-01;2025-12;2025-12
ARIPIPRAZOL 15 MG COMP;FAMILIA;IPU;6;4;ARIPIPRAZOL 15 MG COMP;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;12;2025-01;2025-12;2025-12
ARIPIPRAZOL 5 MG COMP;FAMILIA;DRO;6;4;ARIPIPRAZOL 5 MG COMP;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;21;2025-01;2025-12;2025-12
